# run: do-look-real-research
# time: 2025-11-20T11:22:13.426162+00:00
# command: project/eta_sweep_runner.py
# git_commit: 02a306d205aea27793f13fcdeab56cf7488e687c
# config: {"n": 1048576, "max_factor": 9, "max_eta": 0.4, "max_steps": 3, "threshold": false, "batch": 256, "max_floats": 4294967296, "device": "cuda"}
k,d,acc,eta,factor,step
1,12,0.0,0.03809523954987526,0.8571429252624512,390
1,14,0.01171875,0.03809523954987526,1.0,391
1,16,0.05078125,0.03809523954987526,1.1428571939468384,392
1,19,0.44921875,0.03809523954987526,1.2857143878936768,393
1,21,0.8359375,0.03809523954987526,1.4285714626312256,394
1,23,0.953125,0.03809523954987526,1.571428656578064,395
1,25,0.98046875,0.03809523954987526,1.7142858505249023,396
1,27,0.9921875,0.03809523954987526,1.8571429252624512,397
1,29,1.0,0.03809523954987526,2.0,398
1,31,1.0,0.03809523954987526,2.142857313156128,399
1,33,1.0,0.03809523954987526,2.2857143878936768,400
1,36,1.0,0.03809523954987526,2.4285714626312256,401
1,38,1.0,0.03809523954987526,2.5714287757873535,402
1,40,1.0,0.03809523954987526,2.7142858505249023,403
1,42,1.0,0.03809523954987526,2.857142925262451,404
1,44,1.0,0.03809523954987526,3.000000238418579,405
1,46,1.0,0.03809523954987526,3.142857313156128,406
1,48,1.0,0.03809523954987526,3.2857143878936768,407
1,50,1.0,0.03809523954987526,3.4285717010498047,408
1,53,1.0,0.03809523954987526,3.5714287757873535,409
1,55,1.0,0.03809523954987526,3.7142858505249023,410
1,57,1.0,0.03809523954987526,3.857142925262451,411
1,59,1.0,0.03809523954987526,4.0,412
1,61,1.0,0.03809523954987526,4.142857551574707,413
1,63,1.0,0.03809523954987526,4.285714626312256,414
1,65,1.0,0.03809523954987526,4.428571701049805,415
1,67,1.0,0.03809523954987526,4.571428298950195,416
1,70,1.0,0.03809523954987526,4.714285373687744,417
1,72,1.0,0.03809523954987526,4.857142448425293,418
1,74,1.0,0.03809523954987526,5.0,419
1,76,1.0,0.03809523954987526,5.142857074737549,420
1,78,1.0,0.03809523954987526,5.285714149475098,421
1,80,1.0,0.03809523954987526,5.4285712242126465,422
1,82,1.0,0.03809523954987526,5.571428298950195,423
1,84,1.0,0.03809523954987526,5.714285373687744,424
1,87,1.0,0.03809523954987526,5.857142925262451,425
1,89,1.0,0.03809523954987526,6.0,426
1,91,1.0,0.03809523954987526,6.142857074737549,427
1,93,1.0,0.03809523954987526,6.285714149475098,428
1,95,1.0,0.03809523954987526,6.4285712242126465,429
1,97,1.0,0.03809523954987526,6.571428298950195,430
1,99,1.0,0.03809523954987526,6.714285850524902,431
1,101,1.0,0.03809523954987526,6.857142925262451,432
1,104,1.0,0.03809523954987526,7.0,433
1,106,1.0,0.03809523954987526,7.142857074737549,434
1,108,1.0,0.03809523954987526,7.285714149475098,435
1,110,1.0,0.03809523954987526,7.4285712242126465,436
1,112,1.0,0.03809523954987526,7.571428298950195,437
1,114,1.0,0.03809523954987526,7.714285850524902,438
1,116,1.0,0.03809523954987526,7.857142925262451,439
1,118,1.0,0.03809523954987526,8.0,440
1,121,1.0,0.03809523954987526,8.142857551574707,441
1,123,1.0,0.03809523954987526,8.285714149475098,442
1,125,1.0,0.03809523954987526,8.428571701049805,443
